qid,Len,Lml,Den,Dml,P31,S854,P2093,P212,P957,P407,P495,P577,P1104,P136,P393
,Diarykkurippukal - Madhavikkutty,ടിആറിക്കുറിപ്പുകൾ - മാധവിക്കുട്ടി,Malayalam-language memoirs published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/diarykkurippukal""","""Madhavikkutty""","""9788126423835""",,Q36236,Q668,+2026-02-19T00:00:00Z/11,168,Q112983,"""13"""
,Diarykkurippukal,ടിആറിക്കുറിപ്പുകൾ,Malayalam-language philosophy published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള തത്ത്വശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/diarykkurippukal-1""","""Krishnamurti J""","""9788126428328""",,Q36236,Q668,+2021-02-04T00:00:00Z/11,144,Q5891,"""2"""
,Diego Armando Maradona-bobiyude Suvisesham Adhyayam (1-11),ഡീഗോ അർമാൻഡോ മറഡോണ-ബോബിയുടെ സുവിശേഷം അധ്യായം (1-11),Malayalam-language memoirs published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/diego-armando-maradona-bobiyude-suvisesham-adhyayam-1-11""","""Boby Chemmanur""","""9789354324703""",,Q36236,Q668,+2021-06-23T00:00:00Z/11,120,Q112983,"""1"""
,Dinantham,ദിനാന്തം,Malayalam-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/dinantham""","""O. N. V. Kurup""","""9788126427109""",,Q36236,Q668,+2025-05-31T00:00:00Z/11,68,Q482,"""3"""
,Dinosarukalude Kaalam,ദിനോസറുകളുടെ കാലം,Malayalam-language story published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കഥ,Q7725634,"""https://dcbookstore.com/books/dinosarukalude-kaalam""","""M. Mukundan""","""9788126425365""",,Q36236,Q668,+2025-08-25T00:00:00Z/11,104,Q49084,"""7"""
,Disha,ദിശ,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/disha""","""C V Balakrishnan""","""9788126403066""",,Q36236,Q668,+2023-02-03T00:00:00Z/11,248,Q8261,"""5"""
,Doctor Daivamalla,ഡോക്ടർ ദൈവമല്ല,Malayalam-language memoirs published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/doctor-daivamalla""","""Khadija Mumthas""",,"""8126425199""",Q36236,Q668,+2025-05-31T00:00:00Z/11,104,Q112983,"""6"""
,Doctore Oru Samsayam : Oru Dantha Doctorute Chikithsanubhavangal,ഡോക്ടറെ ഒരു സംശയം : ഒരു ദന്ത ഡോക്ടറുടെ ചികിത്സാനുഭവങ്ങൾ,Malayalam-language health & fitness published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ആരോഗ്യവും ക്ഷമതയും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/doctore-oru-samsayam-oru-dantha-doctorute-chikithsanubhavangal""","""Sanoj P B""","""9788126452972""",,Q36236,Q668,+2016-06-21T00:00:00Z/11,112,Q12147,"""5"""
,Dolls,ടോള്സ്,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/dolls""","""Rihan Rashid""","""9789354321740""",,Q36236,Q668,+2025-09-29T00:00:00Z/11,216,,"""6"""
,Dona Florum Avalude Randu Bharthaakkanmaarum,ഡോണ ഫ്ലോറും അവളുടെ രണ്ടു ഭർത്താക്കന്മാരും,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/dona-florum-avalude-randu-bharthaakkanmaarum""","""Jorge Amado""","""9788126429233""",,Q36236,Q668,+2011-07-27T00:00:00Z/11,606,Q8261,"""1"""
,Dongriyilninnu Dubayilekku,ഡോൺഗ്രിയിൽനിന്നു ദുബായിലേക്കു,Malayalam-language history published by Trissur Current Books,തൃശൂർ കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചരിത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dongriyilninnu-dubayilekku""","""S Hussain Zaidi""","""9788122612622""",,Q36236,Q668,+2022-03-18T00:00:00Z/11,410,Q309,"""300"""
,Dopamine (print on Demand),ഡോപാമിനെ (പ്രിന്റ് ഓൺ ഡിമാൻഡ്),Malayalam-language self help published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച മലയാള സ്വയംസഹായ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dopamine""","""P.N. Suresh Kumar""","""9789352824540""",,Q36236,Q668,+2022-12-15T00:00:00Z/11,128,Q3739522,"""2"""
,Double Bell,ഡബിൾ ബെൽ,Malayalam-language memoirs published by Green Books,ഗ്രീൻ ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/double-bell""","""Haris Nenmeni""","""9789389671551""",,Q36236,Q668,+2019-06-18T00:00:00Z/11,120,Q112983,"""1"""
,Double Omlette : Njangalute Thattukada (keralam 60 Series),ഡബിൾ ഓംലെറ്റ് : ഞങ്ങളുടെ തട്ടുകട (കേരളം 60 സീരീസ്),Malayalam-language cookery published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള പാചക പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/double-omlette-njangalute-thattukada""","""Anil Kumar S""","""9789386560995""",,Q36236,Q668,+2017-06-29T00:00:00Z/11,120,,"""1"""
,Dr Bijuvinte Thirakkathakal,ദൃ ബിജുവിന്റെ തിരക്കഥകൾ,Malayalam-language screenplay published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള തിരക്കഥ,Q7725634,"""https://dcbookstore.com/books/dr-bijuvinte-thirakkathakal""","""Biju""","""9788126451500""",,Q36236,Q668,+2014-09-30T00:00:00Z/11,254,Q103076,"""1"""
,Dracula (green Books),ഡ്രാക്കുള (ഗ്രീൻ ബുക്സ്),Malayalam-language literary fiction published by Green Books,ഗ്രീൻ ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സാഹിത്യ ഫിക്ഷൻ,Q7725634,"""https://dcbookstore.com/books/dracula""","""Bram Stoker""","""9789380884233""",,Q36236,Q668,+2019-09-10T00:00:00Z/11,399,Q6647667,"""1"""
,Dracula (malayalam),ഡ്രാക്കുള (മലയാളം),Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/dracula-malayalam""","""Bram Stoker""",,"""8171306543""",Q36236,Q668,+2026-02-27T00:00:00Z/11,366,,"""17"""
,Draculayude Adhithi,ഡ്രാക്കുളയുടെ അഥിതി,Malayalam-language short stories published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/draculayude-adhithi""","""Bram Stoker""","""9789354827419""",,Q36236,Q668,+2022-08-26T00:00:00Z/11,124,,"""1"""
,Dravidakkallu,ദ്രാവിഡാക്കല്,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/dravidakkallu""","""Anurag Gopinath""","""9789354821646""",,Q36236,Q668,+2021-12-26T00:00:00Z/11,184,,"""2"""
,Dravyam,ദ്രവ്യം,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/dravyam""","""Sreekumar E. P""","""9789354323119""",,Q36236,Q668,+2022-05-21T00:00:00Z/11,312,Q8261,"""2"""
,Dravyathinte Avasthakal,ദ്രവ്യത്തിന്റെ അവസ്ഥകൾ,Malayalam-language science published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dravyathinte-avasthakal""","""Jeeja Venugopal""","""9789387169579""",,Q36236,Q668,+2019-10-15T00:00:00Z/11,142,Q336,"""1"""
,Drishtichaver,ദ്രിഷ്ടിച്ചവർ,Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/drishtichaver""","""Pramod Raman""","""9788126451869""",,Q36236,Q668,+2016-08-16T00:00:00Z/11,96,Q49084,"""2"""
,Drishyam 2,ദൃശ്യം 2,Malayalam-language screenplay published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള തിരക്കഥ,Q7725634,"""https://dcbookstore.com/books/drishyam-2""","""Jeethu Joseph""","""9789354324956""",,Q36236,Q668,+2025-08-25T00:00:00Z/11,192,Q103076,"""5"""
,"Drishyam, Memories",ദൃശ്യം  മെമ്മോറിയസ്,Malayalam-language screenplay published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള തിരക്കഥ,Q7725634,"""https://dcbookstore.com/books/drishyam-memories""","""Jeethu Joseph""","""9788126449941""",,Q36236,Q668,+2026-01-20T00:00:00Z/11,328,Q103076,"""9"""
,Drisyaharsham (ba /b.sc Sem-iii Malayalam Mg Uty),ദൃശ്യഹര്ഷം (ബ /ബി.സ്‌ക ശേം-ഇയ്യ്‌ മലയാളം എംജി ഉറ്റി),Malayalam-language academics published by MG Uty,എംജി യൂണിവേഴ്സിറ്റി പ്രസിദ്ധീകരിച്ച മലയാള അക്കാദമിക് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/drisyaharsham-ba-bsc-sem-iii-malayalam-mg-uty-""","""P S Radhakrishnan""","""9789388807791""",,Q36236,Q668,+2019-07-02T00:00:00Z/11,2,Q193495,"""1"""
,Driving Hand Book,ഡ്രൈവിംഗ് ഹാൻഡ് ബുക്ക്,Malayalam-language self help published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സ്വയംസഹായ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/driving-hand-book""","""Sankar""","""9788124019061""",,Q36236,Q668,+1970-01-01T00:00:00Z/11,106,Q3739522,"""2"""
,Droupadi,ദ്രൗപദി,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/droupadi""","""Pratibha Ray""",,"""8126401060""",Q36236,Q668,+2025-04-30T00:00:00Z/11,336,,"""18"""
,"Dr.palpu,c.krishnan,t.k.madhavan,t.m.nair,g.p.pillai",ദൃ.പല്പു സി.കൃഷ്ണൻ ടി.കെ.മാധവൻ ടി.എം.നായർ ജി.പി.പിള്ളൈ,Malayalam-language autobiography & biography published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ആത്മകഥയും ജീവചരിത്രവും,Q7725634,"""https://dcbookstore.com/books/drpalpuckrishnantkmadhavantmnairgppillai""","""N.K Damodaran""","""9788126424900""",,Q36236,Q668,+2015-01-01T00:00:00Z/11,96,Q36279,"""2"""
,Dubaipuzha,ദുബായിപ്പുഴ,Malayalam-language memoirs published by Green Books,ഗ്രീൻ ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/dubaipuzha""","""Krishnadas""","""9798188582173""",,Q36236,Q668,+2019-06-11T00:00:00Z/11,190,Q112983,"""20"""
,Dukham Enna Veedu,ദുഃഖം എന്ന വീട്,Malayalam-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/dukham-enna-veedu""","""Satchidanandan""","""9789353902445""",,Q36236,Q668,+2020-01-14T00:00:00Z/11,104,Q482,"""1"""
,Dushana,ദുശ്ശന,Malayalam-language romance published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള പ്രണയകഥ,Q7725634,"""https://dcbookstore.com/books/dushana""","""Alwin George""","""9789354823756""",,Q36236,Q668,+2022-09-14T00:00:00Z/11,328,,"""2"""
,Dwaipayanam,ദ്വൈപായണം,Malayalam-language travel & travelogue published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള യാത്രാവിവരണം,Q7725634,"""https://dcbookstore.com/books/dwaipayanam""","""Ramesh S P""",,"""8126421819""",Q36236,Q668,+2015-06-01T00:00:00Z/11,78,Q1072723,"""1"""
,Dweepukalum Theerangalum,ദ്വീപുകളും തീരങ്ങളും,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/dweepukalum-theerangalum""","""Anand""",,,Q36236,Q668,+2026-03-10T00:00:00Z/11,80,Q8261,"""6"""
,E - Learning Enthu Engane,ഇ - ലീർണിങ് എന്ത് എങ്ങനെ,Malayalam-language study published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള പഠനം,Q7725634,"""https://dcbookstore.com/books/e---learning-enthu-engane""","""Dileep Raj""","""9789353906399""",,Q36236,Q668,+2020-10-03T00:00:00Z/11,112,,"""1"""
,E M Sum Penkuttiyum,ഇ എം സം പെണ്കുട്ടിയും,Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/e-m-sum-penkuttiyum""","""Benyamin""","""9788126427680""",,Q36236,Q668,+2023-12-30T00:00:00Z/11,112,Q49084,"""12"""
,E Roudram,ഇ രൗദ്രം,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/e-roudram""","""Jose Panachippuram""",,"""8126419253""",Q36236,Q668,+2012-11-09T00:00:00Z/11,80,Q8261,"""2"""
,Edasseriyude Nadakangal,ഇടശ്ശേരിയുടെ നാടകങ്ങൾ,Malayalam-language drama published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നാടകം,Q7725634,"""https://dcbookstore.com/books/edasseriyude-nadakangal""","""Edassery Govindan Nair""",,,Q36236,Q668,+2015-06-01T00:00:00Z/11,454,Q25379,"""1"""
